"country","countryiso3","1 yes 0 no_electoral_demo.28902_2013","1 yes 0 no_electoral_demo.28902_2014","1 yes 0 no_electoral_demo.28902_2015","1 yes 0 no_electoral_demo.28902_2016","1 to 7 scale_civil_libert.40985_2013","1 to 7 scale_civil_libert.40985_2014","1 to 7 scale_civil_libert.40985_2015","1 to 7 scale_civil_libert.40985_2016","1 to 7 scale_civil_libert.40985_2017","1 to 7 scale_civil_libert.40985_2018","1 to 7 scale_political_ri.40986_2013","1 to 7 scale_political_ri.40986_2014","1 to 7 scale_political_ri.40986_2015","1 to 7 scale_political_ri.40986_2016","1 to 7 scale_political_ri.40986_2017","1 to 7 scale_political_ri.40986_2018","1 to 3 scale_freedom_stat.40987_2013","1 to 3 scale_freedom_stat.40987_2014","1 to 3 scale_freedom_stat.40987_2015","1 to 3 scale_freedom_stat.40987_2016","1 to 3 scale_freedom_stat.40987_2017","1 to 3 scale_freedom_stat.40987_2018"
"Russian Federation","RUS",0,0,0,0,91179,91179,107856,107856,107856,107856,107856,107856,107856,107856,116464,116464,14341,14341,14341,14341,14341,14341
"Rwanda","RWA",0,0,0,0,107856,91179,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Saudi Arabia","SAU",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Sudan","SDN",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Senegal","SEN",1,1,1,1,37943,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Singapore","SGP",0,0,0,0,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Solomon Islands","SLB",0,1,1,1,37943,37943,37943,37943,20899,20899,66165,66165,37943,37943,37943,37943,20899,20899,20899,20899,37943,37943
"Sierra Leone","SLE",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899
"El Salvador","SLV",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"San Marino","SMR",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Somalia","SOM",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Serbia","SRB",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943,37943,37943
"South Sudan","SSD",NA,NA,NA,NA,91179,107856,107856,107856,116464,116464,107856,107856,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Sao Tome and Principe","STP",NA,NA,NA,NA,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Suriname","SUR",1,1,1,1,20899,20899,20899,37943,37943,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Slovak Republic","SVK",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Slovenia","SVN",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Sweden","SWE",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Swaziland","SWZ",0,0,0,0,91179,91179,91179,91179,91179,107856,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Seychelles","SYC",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Syrian Arab Republic","SYR",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Chad","TCD",0,0,0,0,107856,107856,107856,107856,107856,107856,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Togo","TGO",0,0,0,0,66165,66165,66165,66165,66165,66165,91179,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Thailand","THA",1,0,0,0,66165,66165,91179,91179,91179,91179,66165,66165,107856,107856,107856,107856,20899,20899,14341,14341,14341,14341
"Tajikistan","TJK",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,107856,107856,116464,116464,116464,14341,14341,14341,14341,14341,14341
