"country","countryiso3","SL.EMP.VULN.FE.ZS_2013","SL.EMP.VULN.FE.ZS_2014","SL.EMP.VULN.FE.ZS_2015","SL.EMP.VULN.FE.ZS_2016","SL.EMP.VULN.FE.ZS_2017","SL.EMP.VULN.FE.ZS_2018","SL.EMP.VULN.FE.ZS_2019"
"Mali","MLI",89.4659996032715,89.2790031433106,89.0909996032715,88.927001953125,88.4249992370606,87.9939994812012,87.8689994812012
"Malta","MLT",4.74599989503622,5.25400019437075,5.31699977442622,4.44800014793872,6.54200006276369,5.88899981975556,5.82100016623735
"Mauritania","MRT",69.3300008773803,69.0329990386963,68.7680006027222,68.6370000839233,68.4429998397827,68.2110013961792,67.9569988250733
"Mauritius","MUS",13.878999710083,14.1710000038147,14.4140000343323,13.6080002784729,13.1649994850159,13.1060004234314,13.0420002937317
"Mexico","MEX",31.3999996185302,30.5739994049072,30.6090002059937,30.3069992065429,29.2209997177124,29.2879991531372,29.2969989776611
"Middle East & North Africa","MEA",31.5252116215221,30.8892073030999,30.0791296399874,26.5430402505737,27.0685807961907,26.817550241098,26.368032744039
"Middle East & North Africa (excluding high income)","MNA",39.9548747768987,39.5475474234276,38.9011582189507,34.2662674748644,35.0367998674254,34.5102352686842,33.9209964108795
"Middle East & North Africa (IDA & IBRD countries)","TMN",40.0054903372083,39.5799040003141,38.9677884698834,34.3226322160422,35.1157364427644,34.6038013558399,34.0144186803874
"Middle income","MIC",54.9644091843568,54.0905911190633,53.2854083312267,52.5515433384201,51.9539441710788,51.4405080481916,51.2698662055732
"Moldova","MDA",26.4960000514984,27.130000114441,30.4530000686646,32.5229992866516,29.9840002059937,34.2520008087158,33.8790001869202
"Mongolia","MNG",47.0819990634918,46.0870008468628,47.4050006866455,44.5589995384216,45.7599987983704,45.4779992103577,45.2010016441345
"Montenegro","MNE",4.66199994087219,7.65999984741211,9.45500016212463,9.73900032043457,9.86299967765808,9.34500002861023,9.01500010490417
"Morocco","MAR",63.9709997177125,64.5080013275146,63.7369995117188,62.8859996795654,62.1030006408692,61.0249996185302,60.0270023345947
"Mozambique","MOZ",93.4230003356933,93.1950016021728,92.9869956970215,92.9119968414307,92.8200016021729,92.753999710083,92.7190036773682
"Myanmar","MMR",63.9339981079102,63.3129997253418,62.7540016174317,62.3169994354248,61.7499980926514,61.1840019226074,60.6759986877441
"Namibia","NAM",42.8470005989074,38.7099990844727,35.4350004196167,32.2180004119873,35.1080007553101,38.1650013923645,37.9969992637634
"Nepal","NPL",90.5419998168945,90.1120014190674,89.7839984893799,89.5789985656738,89.2259998321534,89.0539989471435,88.8869991302491
"Netherlands","NLD",10.1970003843308,10.5940003991127,11.2479998469352,10.9699998497963,10.8759997487068,10.9480003118515,10.9060001373291
"New Caledonia","NCL",10.5469998121261,10.6270002126693,10.5019997358322,10.4070002734661,10.3150000870227,10.2120000720024,10.1020000874996
"New Zealand","NZL",8.55299985408783,9.2739999294281,9.04499971866608,10.307000041008,10.8969997167587,10.5040003657341,10.4370002746582
"Nicaragua","NIC",47.515998840332,47.7490005493164,47.5959997177125,47.4189987182617,47.2639999389648,47.657000541687,47.9910020828247
"Niger","NER",96.1920013427734,97.5769996643066,97.5410003662109,97.5050010681152,97.4679985046387,97.4290008544922,97.3869972229004
"Nigeria","NGA",85.2239990234375,85.1340045928955,85.0760021209717,85.0989971160889,85.0150012969971,84.9380016326904,84.8780002593995
"North America","NAC",4.19634474755383,4.07548410729387,4.04453190381654,3.98605519193387,4.07397308905143,4.04407055507434,4.03347110082653
"North Macedonia","MKD",21.7520003318787,19.4239997863769,18.6600003242493,17.0269994735718,16.9699997901917,16.8209996223449,16.3949999809265
