"country","countryiso3","SP.POP.1564.TO.ZS_2013","SP.POP.1564.TO.ZS_2014","SP.POP.1564.TO.ZS_2015","SP.POP.1564.TO.ZS_2016","SP.POP.1564.TO.ZS_2017","SP.POP.1564.TO.ZS_2018","SP.POP.1564.TO.ZS_2019"
"New Caledonia","NCL",67.401472892273,67.6334041734675,67.7996052607308,67.9285607477999,68.0223705574599,68.0849164086245,68.1393457117595
"New Zealand","NZL",65.802105337705,65.5968098272873,65.38199323355,65.1902821582374,64.9543793175464,64.694144015841,64.4394397481279
"Nicaragua","NIC",63.4019177373134,63.7207131485979,63.9733000816295,64.2118289193452,64.3993136247922,64.5508213516632,64.6871546292401
"Niger","NER",47.183443658254,47.2003560881632,47.2592553929141,47.2583696277197,47.3163561314673,47.4206675078562,47.5611194251227
"Nigeria","NGA",53.024570383667,53.0508239639148,53.1339477632477,53.1479516634956,53.2377460928992,53.3859830164984,53.569386463864
"North America","NAC",66.6930541139596,66.5163205641698,66.3158914837136,66.1143465304772,65.8803331071231,65.6274064073782,65.3710697197998
"North Macedonia","MKD",70.8258452159781,70.7563138453394,70.6402741654996,70.3628944083916,70.0889434946081,69.8128189876219,69.5209744948185
"Norway","NOR",65.9823150318292,65.8528877838851,65.7346500928106,65.6039698728744,65.4949298815821,65.4017394653615,65.3143595377233
"OECD members","OED",66.0880681627896,65.9022990020706,65.7114411309492,65.5354595449694,65.3569362669727,65.1787111009505,65.000603738163
"Oman","OMN",74.9999601573096,75.5520626927489,75.8867802672761,75.8033934040733,75.6147758816681,75.3607070585134,75.1330154496917
"Other small states","OSS",64.095893720372,64.2126495709675,64.3146649144354,64.3979641841241,64.4869692516754,64.5682777363324,64.6409775487416
"Pacific island small states","PSS",60.7458350862575,60.6198591608732,60.4606392396258,60.453061350904,60.4279565258858,60.4261278529707,60.4816794626923
"Pakistan","PAK",59.1131337175271,59.4436303588378,59.7533566223272,59.9862738229707,60.2075429118137,60.4174110891137,60.6232143782136
"Panama","PAN",64.4121983555972,64.5144943472891,64.6010683668612,64.6703135287453,64.7506105164425,64.8329645962083,64.9070432896834
"Papua New Guinea","PNG",59.2591912567183,59.6128847966396,59.9536740967775,60.2229126031431,60.4823563208311,60.738796347755,61.0046092180487
"Paraguay","PRY",63.0515971980297,63.4157513736593,63.6841195644146,63.9178934037114,64.0546370565225,64.1292793944163,64.1998394239248
"Peru","PER",64.4067151638106,64.5561789409026,64.5926973731581,65.3422333650822,65.8267009172855,66.121004362089,66.3520253009086
"Philippines","PHL",62.6290412849277,62.8560671200588,63.1159012018934,63.3154079529544,63.5948947887491,63.9143910299006,64.209122714395
"Poland","POL",70.4345199482332,69.984874940173,69.4242208415248,68.8771314599247,68.1894244434854,67.4299064237598,66.6977162655768
