"country","countryiso3","latest.year_score_security_apparatus.28904","latest.value_score_security_apparatus.28904","latest.year_score_uneven_development.28905","latest.value_score_uneven_development.28905","latest.year_score_group_grievance.28907","latest.value_score_group_grievance.28907","latest.year_score_human_flight.28908","latest.value_score_human_flight.28908","latest.year_score_human_rights.28909","latest.value_score_human_rights.28909","latest.year_score_legitimacy_of_the_s.28910","latest.value_score_legitimacy_of_the_s.28910","latest.year_score_public_services.28911","latest.value_score_public_services.28911"
"Bahrain","BHR",2017,2.4,2017,8.2,2017,4.8,2017,7.6,2017,8.4,2017,3.5,2017,1.8
"Bahamas, The","BHS",2017,2.6,2017,3.8,2017,3.7,2017,4.5,2017,4.1,2017,4.7,2017,4.6
"Bosnia and Herzegovina","BIH",2017,7.6,2017,6.5,2017,8.2,2017,8.7,2017,7,2017,5.5,2017,3.6
"Belarus","BLR",2017,3.6,2017,8.7,2017,7.3,2017,8.3,2017,7.1,2017,3.4,2017,4.2
"Belize","BLZ",2017,3.6,2017,5.2,2017,7.5,2017,4.3,2017,4.1,2017,6.6,2017,5.9
"Bolivia","BOL",2017,3.9,2017,6.5,2017,5.8,2017,8,2017,6,2017,7,2017,6.8
"Brazil","BRA",2017,2.8,2017,6.2,2017,3.3,2017,4.9,2017,6.2,2017,4.6,2017,6.4
"Barbados","BRB",2017,2.5,2017,2.5,2017,6,2017,4.2,2017,4.1,2017,5.4,2017,2.7
"Brunei Darussalam","BRN",2017,2.2,2017,8.3,2017,3.6,2017,7.4,2017,5.9,2017,4.6,2017,1.8
"Bhutan","BTN",2017,7,2017,4.3,2017,8,2017,7.5,2017,7.9,2017,7.2,2017,6.1
"Botswana","BWA",2017,4.5,2017,3.3,2017,4.1,2017,3.3,2017,4.9,2017,5.5,2017,7.3
"Central African Republic","CAF",2017,10,2017,9.7,2017,9.8,2017,9.7,2017,9.1,2017,7.5,2017,10
"Canada","CAN",2017,1.8,2017,1,2017,1,2017,2.5,2017,3.4,2017,1.7,2017,1.5
"Switzerland","CHE",2017,2.5,2017,1,2017,1,2017,1,2017,3.6,2017,2.1,2017,1
"Chile","CHL",2017,2.1,2017,3.3,2017,2.1,2017,2.2,2017,3.6,2017,3.8,2017,4
"China","CHN",2017,4.9,2017,8.6,2017,2.7,2017,7.2,2017,7.9,2017,4.9,2017,5.7
"Cote d'Ivoire","CIV",2017,7.8,2017,7.9,2017,9.2,2017,9.1,2017,8.1,2017,7.3,2017,8.7
"Cameroon","CMR",2017,8,2017,8.4,2017,7.8,2017,9.1,2017,8.3,2017,7.6,2017,8.7
"Colombia","COL",2017,7.7,2017,6.3,2017,6,2017,7.6,2017,7.3,2017,6.2,2017,5.9
"Comoros","COM",2017,4.7,2017,7.3,2017,8,2017,8,2017,5.4,2017,7.4,2017,8.2
