"country","countryiso3","SL.EMP.VULN.MA.ZS_2013","SL.EMP.VULN.MA.ZS_2014","SL.EMP.VULN.MA.ZS_2015","SL.EMP.VULN.MA.ZS_2016","SL.EMP.VULN.MA.ZS_2017","SL.EMP.VULN.MA.ZS_2018","SL.EMP.VULN.MA.ZS_2019"
"IDA only","IDX",66.843057039425,66.3998404031336,66.0742525412856,65.6864289147578,65.2176671330568,65.0845078655966,64.9543386693958
"IDA total","IDA",64.0836568269556,63.8033848471126,63.4648367339114,63.2803736912069,62.6071657899098,62.1790836213609,62.0561885775997
"India","IND",77.5400037765503,76.8659963607788,76.1709985733033,75.4670019149781,74.7799968719482,74.0819997787475,73.8120002746582
"Indonesia","IDN",44.9989981651307,44.3269996643067,41.8679986000061,42.1570000648498,42.1460008621216,42.5769987106323,42.1289987564087
"Iran, Islamic Rep.","IRN",39.7350013256073,40.0400009155273,39.9390008449554,41.0450012683869,41.2060005664826,41.2700002193451,41.3089988231659
"Iraq","IRQ",22.8760001659393,22.4000005722046,22.011999130249,21.7620000839234,21.117000579834,21.1059999465943,21.1129999160767
"Ireland","IRL",17.8559998869896,17.3099997639657,16.7329998016358,16.3090002536774,15.3949999213218,14.9150000810623,14.8380000293255
"Israel","ISR",8.89699956029654,8.99900030344724,9.00100004673005,9.1220001578331,9.13400003686547,8.9050002284348,8.91000034287572
"Italy","ITA",20.5989996194839,20.5170009732246,20.2929998636246,19.9049993753433,19.757000207901,19.3549997806549,19.3990008234978
"Jamaica","JAM",42.1320011019707,41.558998644352,40.9410018324852,40.4120002985001,39.915000796318,39.8579999208451,39.9149985313416
"Japan","JPN",9.18099993467331,9.24799990653992,9.11800026893616,8.73500007390976,8.6849997639656,8.68599998950959,8.63699978590011
"Jordan","JOR",10.6359995603561,10.6480004191399,10.6300000548363,10.6410000920295,10.6429997682572,10.6479997038841,10.6419999599457
"Kazakhstan","KAZ",28.628999710083,27.4549997746945,26.331000186503,24.8359998911619,23.4019990712405,23.4849992543459,23.5679994374514
"Kenya","KEN",47.193000793457,46.085000038147,45.0549993515014,44.1220006942749,43.846999168396,43.4829993247985,43.2309980392456
