"country","countryiso3","latest.year_score_logistics_performan.321","latest.value_score_logistics_performan.321","latest.year_score_logistics_performan.40212","latest.value_score_logistics_performan.40212","latest.year_score (lower bound)_logis.322","latest.value_score (lower bound)_logis.322","latest.year_score (upper bound)_logis.323","latest.value_score (upper bound)_logis.323","latest.year_rank_logistics_performanc.324","latest.value_rank_logistics_performanc.324","latest.year_rank_logistics_performanc.40213","latest.value_rank_logistics_performanc.40213","latest.year_rank (lower bound)_logist.325","latest.value_rank (lower bound)_logist.325","latest.year_rank (upper bound)_logist.326","latest.value_rank (upper bound)_logist.326","latest.year_% of highest performer_lo.327","latest.value_% of highest performer_lo.327","latest.year_score_customs.329","latest.value_score_customs.329","latest.year_rank_customs.330","latest.value_rank_customs.330","latest.year_score_infrastructure.331","latest.value_score_infrastructure.331","latest.year_rank_infrastructure.332","latest.value_rank_infrastructure.332","latest.year_score_international_shipm.333","latest.value_score_international_shipm.333","latest.year_rank_international_shipme.334","latest.value_rank_international_shipme.334","latest.year_score_logistics_competenc.335","latest.value_score_logistics_competenc.335","latest.year_rank_logistics_competence.336","latest.value_rank_logistics_competence.336","latest.year_score_tracking_and_tracin.337","latest.value_score_tracking_and_tracin.337","latest.year_rank_tracking_and_tracing.338","latest.value_rank_tracking_and_tracing.338","latest.year_score_timeliness_on_intl_.339","latest.value_score_timeliness_on_intl_.339","latest.year_rank_timeliness_on_intl_s.340","latest.value_rank_timeliness_on_intl_s.340"
"Egypt, Arab Rep.","EGY",2018,2.82,2018,2.95,2018,2.48,2018,3.17,2018,67,2018,60,2018,45,2018,115,2018,57,2018,2.6,2018,77,2018,2.82,2018,58,2018,2.79,2018,73,2018,2.82,2018,63,2018,2.72,2018,89,2018,3.19,2018,74
"Eritrea","ERI",2018,2.09,2018,2.11,2018,1.79,2018,2.38,2018,155,2018,162,2018,130,2018,160,2018,33.96,2018,2.13,2018,137,2018,1.86,2018,152,2018,2.09,2018,154,2018,2.17,2018,146,2018,2.17,2018,145,2018,2.08,2018,159
"Spain","ESP",2018,3.83,2018,3.78,2018,3.74,2018,3.92,2018,17,2018,18,2018,12,2018,18,2018,88.44,2018,3.62,2018,17,2018,3.84,2018,19,2018,3.83,2018,6,2018,3.8,2018,18,2018,3.83,2018,19,2018,4.06,2018,20
"Estonia","EST",2018,3.31,2018,3.3,2018,3.06,2018,3.56,2018,36,2018,36,2018,28,2018,50,2018,72.21,2018,3.32,2018,28,2018,3.1,2018,44,2018,3.26,2018,39,2018,3.15,2018,40,2018,3.21,2018,43,2018,3.8,2018,30
"Ethiopia","ETH",2016,2.38,2018,2.4,2016,2.16,2016,2.59,2016,126,2018,131,2016,98,2016,145,2016,42.68,2016,2.6,2016,80,2016,2.12,2016,133,2016,2.56,2016,102,2016,2.37,2016,117,2016,2.18,2016,133,2016,2.37,2016,149
"Finland","FIN",2018,3.97,2018,3.92,2018,3.68,2018,4.26,2018,10,2018,12,2018,1,2018,21,2018,92.74,2018,3.82,2018,8,2018,4,2018,11,2018,3.56,2018,16,2018,3.89,2018,15,2018,4.32,2018,1,2018,4.28,2018,8
"Fiji","FJI",2018,2.35,2018,2.37,2018,2.1,2018,2.6,2018,133,2018,134,2018,94,2018,154,2018,42.22,2018,2.41,2018,101,2018,2.4,2018,99,2018,2.16,2018,149,2018,2.31,2018,119,2018,2.31,2018,132,2018,2.54,2018,143
"France","FRA",2018,3.84,2018,3.86,2018,3.79,2018,3.9,2018,16,2018,15,2018,14,2018,17,2018,88.85,2018,3.59,2018,19,2018,4,2018,12,2018,3.55,2018,17,2018,3.84,2018,17,2018,4,2018,12,2018,4.15,2018,14
"Gabon","GAB",2018,2.16,2018,2.19,2018,1.87,2018,2.45,2018,150,2018,158,2018,117,2018,160,2018,36.29,2018,1.96,2018,148,2018,2.09,2018,136,2018,2.1,2018,153,2018,2.07,2018,151,2018,2.07,2018,153,2018,2.67,2018,135
"United Kingdom","GBR",2018,3.99,2018,4.01,2018,3.93,2018,4.05,2018,9,2018,6,2018,3,2018,11,2018,93.3,2018,3.77,2018,11,2018,4.03,2018,8,2018,3.67,2018,13,2018,4.05,2018,7,2018,4.11,2018,4,2018,4.33,2018,5
"Georgia","GEO",2018,2.44,2018,2.45,2018,2.19,2018,2.69,2018,119,2018,124,2018,84,2018,146,2018,45.07,2018,2.42,2018,95,2018,2.38,2018,102,2018,2.38,2018,124,2018,2.26,2018,132,2018,2.26,2018,139,2018,2.95,2018,105
"Ghana","GHA",2018,2.57,2018,2.6,2018,2.29,2018,2.85,2018,106,2018,101,2018,65,2018,138,2018,48.9,2018,2.45,2018,92,2018,2.44,2018,90,2018,2.53,2018,109,2018,2.51,2018,95,2018,2.57,2018,106,2018,2.87,2018,115
"Guinea","GIN",2018,2.2,2018,2.3,2018,1.99,2018,2.41,2018,145,2018,145,2018,126,2018,159,2018,37.51,2018,2.45,2018,93,2018,1.56,2018,160,2018,2.32,2018,132,2018,2.07,2018,152,2018,2.7,2018,91,2018,2.04,2018,160
"Gambia, The","GMB",2018,2.4,2018,2.34,2018,2.11,2018,2.69,2018,127,2018,138,2018,84,2018,153,2018,43.77,2018,2.08,2018,141,2018,1.82,2018,155,2018,2.71,2018,87,2018,2.21,2018,142,2018,2.81,2018,73,2018,2.71,2018,131
"Guinea-Bissau","GNB",2018,2.39,2018,2.4,2018,2.11,2018,2.67,2018,129,2018,128,2018,86,2018,153,2018,43.33,2018,2.01,2018,144,2018,1.78,2018,159,2018,2.53,2018,108,2018,2.28,2018,126,2018,2.78,2018,80,2018,2.86,2018,116
"Equatorial Guinea","GNQ",2018,2.32,2018,2.21,2018,1.93,2018,2.7,2018,136,2018,156,2018,82,2018,160,2018,41.16,2018,1.91,2018,151,2018,1.88,2018,151,2018,2.88,2018,62,2018,2.25,2018,133,2018,2.13,2018,149,2018,2.75,2018,126
"Greece","GRC",2018,3.2,2018,3.19,2018,3.04,2018,3.37,2018,42,2018,44,2018,34,2018,51,2018,68.86,2018,2.84,2018,47,2018,3.17,2018,38,2018,3.3,2018,35,2018,3.06,2018,48,2018,3.18,2018,45,2018,3.66,2018,42
"Guatemala","GTM",2018,2.41,2018,2.51,2018,2.22,2018,2.61,2018,125,2018,115,2018,93,2018,143,2018,44.19,2018,2.16,2018,132,2018,2.2,2018,122,2018,2.33,2018,130,2018,2.25,2018,136,2018,2.42,2018,122,2018,3.11,2018,88
"Guyana","GUY",2018,2.36,2018,2.45,2018,2.2,2018,2.52,2018,132,2018,122,2018,114,2018,145,2018,42.43,2018,2.55,2018,84,2018,2.09,2018,137,2018,2.17,2018,148,2018,2.24,2018,137,2018,2.44,2018,121,2018,2.65,2018,137
"Hong Kong SAR, China","HKG",2018,3.92,2018,3.96,2018,3.83,2018,4.01,2018,12,2018,9,2018,7,2018,17,2018,91.21,2018,3.81,2018,9,2018,3.97,2018,15,2018,3.77,2018,8,2018,3.93,2018,12,2018,3.92,2018,15,2018,4.14,2018,15
"Honduras","HND",2018,2.6,2018,2.56,2018,2.45,2018,2.76,2018,93,2018,106,2018,76,2018,116,2018,50.1,2018,2.24,2018,125,2018,2.47,2018,88,2018,2.66,2018,93,2018,2.72,2018,75,2018,2.68,2018,93,2018,2.83,2018,118
"Croatia","HRV",2018,3.1,2018,3.12,2018,2.84,2018,3.37,2018,49,2018,48,2018,34,2018,65,2018,65.72,2018,2.98,2018,39,2018,3.01,2018,46,2018,2.93,2018,58,2018,3.1,2018,45,2018,3.01,2018,61,2018,3.59,2018,47
"Haiti","HTI",2018,2.11,2018,2.02,2018,1.95,2018,2.27,2018,153,2018,166,2018,140,2018,159,2018,34.74,2018,2.03,2018,142,2018,1.94,2018,147,2018,2.01,2018,157,2018,2.19,2018,145,2018,2.05,2018,154,2018,2.44,2018,149
"Hungary","HUN",2018,3.42,2018,3.41,2018,3.25,2018,3.59,2018,31,2018,32,2018,28,2018,39,2018,75.55,2018,3.35,2018,27,2018,3.27,2018,30,2018,3.22,2018,43,2018,3.21,2018,38,2018,3.67,2018,26,2018,3.79,2018,32
"Indonesia","IDN",2018,3.15,2018,3.08,2018,2.85,2018,3.45,2018,46,2018,51,2018,31,2018,64,2018,67.16,2018,2.67,2018,62,2018,2.9,2018,54,2018,3.23,2018,42,2018,3.1,2018,44,2018,3.3,2018,39,2018,3.67,2018,41
"India","IND",2018,3.18,2018,3.22,2018,3.1,2018,3.26,2018,44,2018,42,2018,40,2018,49,2018,67.99,2018,2.96,2018,40,2018,2.91,2018,52,2018,3.21,2018,44,2018,3.13,2018,42,2018,3.32,2018,38,2018,3.5,2018,52
"Ireland","IRL",2018,3.51,2018,3.63,2018,3.28,2018,3.74,2018,29,2018,25,2018,20,2018,37,2018,78.42,2018,3.36,2018,26,2018,3.29,2018,29,2018,3.42,2018,28,2018,3.6,2018,26,2018,3.62,2018,28,2018,3.76,2018,33
"Iran, Islamic Rep.","IRN",2018,2.85,2018,2.71,2018,2.5,2018,3.2,2018,64,2018,81,2018,43,2018,114,2018,57.87,2018,2.63,2018,71,2018,2.77,2018,63,2018,2.76,2018,79,2018,2.84,2018,62,2018,2.77,2018,85,2018,3.36,2018,60
"Iraq","IRQ",2018,2.18,2018,2.18,2018,2.04,2018,2.31,2018,147,2018,159,2018,137,2018,159,2018,36.74,2018,1.84,2018,153,2018,2.03,2018,140,2018,2.32,2018,131,2018,1.91,2018,159,2018,2.19,2018,144,2018,2.72,2018,129
