"country","countryiso3","total_population.40942_2014","total_population.40942_2015","total_population.40942_2016","total_population.40942_2017","%_poverty_gap_at_national.40916_2014","%_poverty_gap_at_national.40916_2015","%_poverty_headcount_ratio.40918_2014","%_poverty_headcount_ratio.40918_2015","%_poverty_headcount_ratio.40918_2016","%_poverty_headcount_ratio.40918_2017","%_rural_poverty_gap_at_na.40921_2014","%_rural_poverty_gap_at_na.40921_2015","% of rural population_rur.40923_2014","% of rural population_rur.40923_2015","%_urban_poverty_gap_at_na.40930_2014","%_urban_poverty_gap_at_na.40930_2015","% of urban population_urb.40932_2014","% of urban population_urb.40932_2015","second 20%_income_share_h.40899_2014","second 20%_income_share_h.40899_2015","second 20%_income_share_h.40899_2016","second 20%_income_share_h.40899_2017","third 20%_income_share_he.40900_2014","third 20%_income_share_he.40900_2015","third 20%_income_share_he.40900_2016","third 20%_income_share_he.40900_2017","fourth 20%_income_share_h.40901_2014","fourth 20%_income_share_h.40901_2015","fourth 20%_income_share_h.40901_2016","fourth 20%_income_share_h.40901_2017","highest 20%_income_share_.40902_2014","highest 20%_income_share_.40902_2015","highest 20%_income_share_.40902_2016","highest 20%_income_share_.40902_2017","highest 10%_income_share_.40903_2014","highest 10%_income_share_.40903_2015","highest 10%_income_share_.40903_2016","highest 10%_income_share_.40903_2017","lowest 10%_income_share_h.40904_2014","lowest 10%_income_share_h.40904_2015","lowest 10%_income_share_h.40904_2016","lowest 10%_income_share_h.40904_2017","lowest 20%_income_share_h.40905_2014","lowest 20%_income_share_h.40905_2015","lowest 20%_income_share_h.40905_2016","lowest 20%_income_share_h.40905_2017","ratio_poverty_headcount_r.40906_2014","ratio_poverty_headcount_r.40906_2015","ratio_poverty_headcount_r.40906_2016","ratio_poverty_headcount_r.40906_2017","%_poverty_gap_at_$1.90_a_.40909_2014","%_poverty_gap_at_$1.90_a_.40909_2015","%_poverty_gap_at_$1.90_a_.40909_2016","%_poverty_gap_at_$1.90_a_.40909_2017","world bank estimate_gini_.40910_2014","world bank estimate_gini_.40910_2015","world bank estimate_gini_.40910_2016","world bank estimate_gini_.40910_2017","% of population_poverty_h.40911_2014","% of population_poverty_h.40911_2015","% of population_poverty_h.40911_2016","% of population_poverty_h.40911_2017","%_poverty_gap_at_$3.20_a_.40912_2014","%_poverty_gap_at_$3.20_a_.40912_2015","%_poverty_gap_at_$3.20_a_.40912_2016","%_poverty_gap_at_$3.20_a_.40912_2017","millions_number_of_poor_a.40920_2014","millions_number_of_poor_a.40920_2015","millions_number_of_poor_a.40920_2016","millions_number_of_poor_a.40920_2017","%_poverty_headcount_ratio.40925_2014","%_poverty_headcount_ratio.40925_2015","%_poverty_headcount_ratio.40925_2016","%_poverty_headcount_ratio.40925_2017","%_poverty_gap_at_$5.50_a_.40926_2014","%_poverty_gap_at_$5.50_a_.40926_2015","%_poverty_gap_at_$5.50_a_.40926_2016","%_poverty_gap_at_$5.50_a_.40926_2017","mean_survey_mean_consumpt.40934_2014","mean_survey_mean_consumpt.40934_2015","mean_survey_mean_consumpt.40934_2016","mean_survey_mean_consumpt.40934_2017","%_annualized_average_grow.40935_2014","%_annualized_average_grow.40935_2015","%_annualized_average_grow.40935_2016","%_annualized_average_grow.40935_2017","mean_survey_mean_consumpt.40936_2014","mean_survey_mean_consumpt.40936_2015","mean_survey_mean_consumpt.40936_2016","mean_survey_mean_consumpt.40936_2017","%_annualized_average_grow.40937_2014","%_annualized_average_grow.40937_2015","%_annualized_average_grow.40937_2016","%_annualized_average_grow.40937_2017"
"Luxembourg","LUX",556319,569604,582014,599449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,12.1,NA,NA,17.2,16.7,NA,NA,22.9,23.1,NA,NA,39.1,41,NA,NA,24.3,25.4,NA,NA,3.2,2.8,NA,NA,7.9,7.2,NA,NA,0.2,0.2,NA,NA,0,0.2,NA,NA,31.2,33.8,NA,NA,0.2,0.5,NA,NA,0.1,0.2,NA,NA,0,0,NA,NA,0.2,0.5,NA,NA,0.2,0.3,NA,NA,NA,33.04,NA,NA,NA,-2.14,NA,NA,NA,69.24,NA,NA,NA,-0.44,NA,NA
"Latvia","LVA",1993782,1977527,1959537,1940740,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,12.3,NA,NA,16.3,16.4,NA,NA,22.7,22.8,NA,NA,42.2,41.5,NA,NA,26.6,26.1,NA,NA,2.3,2.5,NA,NA,6.6,7.1,NA,NA,0.7,0.7,NA,NA,0.4,0.4,NA,NA,35.1,34.2,NA,NA,1.7,1.5,NA,NA,0.7,0.7,NA,NA,0,0,NA,NA,5.5,4,NA,NA,2,1.5,NA,NA,NA,11.11,NA,NA,NA,7.52,NA,NA,NA,23.16,NA,NA,NA,6.47,NA,NA
"Macao SAR, China","MAC",588781,600942,612167,622567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Martin (French part)","MAF",31530,31754,31949,32125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco","MAR",34318082,34803322,35276786,35739580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","MCO",38132,38307,38499,38695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova","MDA",3556397,3554108,3551954,3549750,1.5,NA,11.4,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,13.7,14.1,NA,17.4,17.5,17.4,NA,22.5,22.3,21.9,NA,36.6,36.9,36.6,NA,22.1,22.5,22.7,NA,4.2,4.1,4.3,NA,9.7,9.7,10,NA,0,0,0.2,NA,0,0,0,NA,26.8,27,26.3,NA,1.1,1.4,1.3,NA,0.1,0.2,0.2,NA,0,0,0,NA,18.4,16.3,16.5,NA,3.5,3.1,3,NA,NA,NA,5.65,NA,NA,NA,2.79,NA,NA,NA,9.37,NA,NA,NA,0.39,NA
"Madagascar","MDG",23589801,24234088,24894551,25570895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maldives","MDV",408247,418403,427756,436330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico","MEX",124221600,125890949,127540423,129163276,0.4,NA,46.2,NA,43.6,NA,NA,NA,62.4,NA,NA,NA,50.5,NA,9.4,NA,9.8,NA,13.4,NA,14,NA,19.6,NA,20.4,NA,52.2,NA,50.1,NA,37.2,NA,34.8,NA,2,NA,2.2,NA,5.4,NA,5.7,NA,4.1,NA,2.5,NA,1,NA,0.6,NA,45.8,NA,43.4,NA,14.2,NA,11.2,NA,4.1,NA,2.9,NA,5,NA,3.2,NA,40.5,NA,34.8,NA,13.8,NA,11.2,NA,3.96,NA,NA,NA,0.51,NA,NA,NA,11.75,NA,NA,NA,0.74,NA,NA,NA
"Marshall Islands","MHL",52898,52994,53066,53127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macedonia, FYR","MKD",2077495,2079308,2081206,2083160,NA,NA,22.1,21.5,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,17.2,NA,NA,NA,24.3,NA,NA,NA,41,NA,NA,NA,25,NA,NA,NA,1.7,NA,NA,NA,5.6,NA,NA,NA,5,NA,NA,NA,2.5,NA,NA,NA,35.6,NA,NA,NA,10,NA,NA,NA,4.5,NA,NA,NA,0.1,NA,NA,NA,25.1,NA,NA,NA,9.8,NA,NA,NA,4.55,NA,NA,NA,6.2,NA,NA,NA,10.42,NA,NA,NA,1.9,NA,NA,NA
"Mali","MLI",16962846,17467905,17994837,18541980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","MLT",434558,445053,455356,465292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,13.4,NA,NA,17.6,17.5,NA,NA,22.5,22.5,NA,NA,37.8,38.1,NA,NA,23.3,23.6,NA,NA,3.5,3.5,NA,NA,8.6,8.5,NA,NA,0,0,NA,NA,0,0,NA,NA,29,29.4,NA,NA,0,0.2,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0.2,NA,NA,0,0.1,NA,NA,NA,23.22,NA,NA,NA,3.57,NA,NA,NA,42.43,NA,NA,NA,3.48,NA,NA
"Myanmar","MMR",51924182,52403669,52885223,53370609,NA,NA,NA,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,15,NA,NA,NA,20.6,NA,NA,NA,45.7,NA,NA,NA,31.7,NA,NA,NA,3,NA,NA,NA,7.3,NA,NA,NA,6.4,NA,NA,NA,1.5,NA,NA,NA,38.1,NA,NA,NA,29.8,NA,NA,NA,7.8,NA,NA,NA,3.3,NA,NA,NA,67.6,NA,NA,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro","MNE",621810,622159,622303,622471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,NA,NA,NA,16.6,NA,NA,NA,22.1,NA,NA,NA,40.5,NA,NA,NA,25.7,NA,NA,NA,3.5,NA,NA,NA,8.5,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,31.9,NA,NA,NA,0.8,NA,NA,NA,0.1,NA,NA,NA,0,NA,NA,NA,4.8,NA,NA,NA,1.1,NA,NA,NA,7.52,NA,NA,NA,-2.73,NA,NA,NA,14.51,NA,NA,NA,-2.27,NA,NA,NA
"Mongolia","MNG",2923896,2976877,3027398,3075647,5.2,NA,21.6,NA,NA,NA,5.8,NA,26.4,NA,4.9,NA,18.8,NA,12.6,NA,12.4,NA,16.7,NA,16.6,NA,22.3,NA,22.3,NA,40.3,NA,40.6,NA,25.5,NA,25.6,NA,3.3,NA,3.3,NA,8.1,NA,8,NA,0.2,NA,0.5,NA,0,NA,0.1,NA,32,NA,32.3,NA,3.2,NA,6.5,NA,0.5,NA,1.2,NA,0,NA,0,NA,18.7,NA,30.6,NA,4.5,NA,8.1,NA,NA,NA,4.48,NA,NA,NA,1.86,NA,NA,NA,8.77,NA,NA,NA,1.42,NA
"Northern Mariana Islands","MNP",54468,54816,55023,55144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",27212382,28010691,28829476,29668834,NA,NA,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,11.2,NA,NA,NA,17.4,NA,NA,NA,59.5,NA,NA,NA,45.5,NA,NA,NA,1.6,NA,NA,NA,4.2,NA,NA,NA,62.9,NA,NA,NA,27.9,NA,NA,NA,54,NA,NA,NA,81.9,NA,NA,NA,46.6,NA,NA,NA,17.1,NA,NA,NA,92,NA,NA,NA,63.9,NA,NA,NA,0.78,NA,NA,NA,1.52,NA,NA,NA,2.65,NA,NA,NA,5.36,NA,NA,NA
"Mauritania","MRT",4063920,4182341,4301018,4420184,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,16.9,NA,NA,NA,23,NA,NA,NA,40.2,NA,NA,NA,24.9,NA,NA,NA,3,NA,NA,NA,7.5,NA,NA,NA,6,NA,NA,NA,1.4,NA,NA,NA,32.6,NA,NA,NA,24.1,NA,NA,NA,6.7,NA,NA,NA,0.2,NA,NA,NA,58.8,NA,NA,NA,21.6,NA,NA,NA,2.86,NA,NA,NA,3.17,NA,NA,NA,5.74,NA,NA,NA,1.44,NA,NA,NA
"Mauritius","MUS",1260934,1262605,1263473,1264613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malawi","MWI",17068838,17573607,18091575,18622104,NA,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malaysia","MYS",30228017,30723155,31187265,31624264,NA,NA,NA,0.4,NA,NA,NA,NA,1.6,NA,NA,NA,0.3,NA,NA,10.1,NA,NA,NA,14.8,NA,NA,NA,22,NA,NA,NA,47.3,NA,NA,NA,31.3,NA,NA,NA,2.3,NA,NA,NA,5.8,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,41,NA,NA,NA,0.2,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2.7,NA,NA,NA,0.5,NA,NA,NA,11.14,NA,NA,NA,8.3,NA,NA,NA,27.95,NA,NA,NA,5.95,NA,NA
"Namibia","NAM",2370992,2425561,2479713,2533794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,9.8,NA,NA,NA,17.9,NA,NA,NA,63.7,NA,NA,NA,47.3,NA,NA,NA,1,NA,NA,NA,2.8,NA,NA,NA,13.4,NA,NA,NA,4.6,NA,NA,NA,59.1,NA,NA,NA,29.6,NA,NA,NA,11.5,NA,NA,NA,0.3,NA,NA,NA,50.1,NA,NA,NA,23.7,NA,NA,NA,2.41,NA,NA,NA,5.73,NA,NA,NA,11.27,NA,NA,NA,6.64,NA,NA
"New Caledonia","NCL",268050,272400,276550,280460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niger","NER",19148219,19896965,20672987,21477348,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,16,NA,NA,NA,22,NA,NA,NA,42.4,NA,NA,NA,27,NA,NA,NA,3.2,NA,NA,NA,7.8,NA,NA,NA,44.5,NA,NA,NA,13.5,NA,NA,NA,34.3,NA,NA,NA,76.9,NA,NA,NA,33.6,NA,NA,NA,8.5,NA,NA,NA,93.4,NA,NA,NA,55.9,NA,NA,NA,1.27,NA,NA,NA,-0.06,NA,NA,NA,2.59,NA,NA,NA,3.26,NA,NA,NA
"Nigeria","NGA",176460502,181181744,185989640,190886311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicaragua","NIC",6013997,6082035,6149928,6217581,8.1,NA,29.6,NA,24.9,NA,NA,NA,50.1,NA,NA,NA,14.8,NA,9.2,NA,NA,NA,13.7,NA,NA,NA,20,NA,NA,NA,52.1,NA,NA,NA,37.2,NA,NA,NA,2,NA,NA,NA,5.1,NA,NA,NA,3.2,NA,NA,NA,0.7,NA,NA,NA,46.2,NA,NA,NA,12.8,NA,NA,NA,3.4,NA,NA,NA,0.2,NA,NA,NA,34.8,NA,NA,NA,12.1,NA,NA,NA,3.87,NA,NA,NA,5.64,NA,NA,NA,10.83,NA,NA,NA,6.52,NA,NA,NA
"Netherlands","NLD",16865008,16939923,17030314,17132854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,13.9,NA,NA,17.4,17.5,NA,NA,22.4,22.4,NA,NA,37.7,37.3,NA,NA,23.3,23,NA,NA,3.5,3.5,NA,NA,8.8,8.9,NA,NA,0,0,NA,NA,0,0,NA,NA,28.6,28.2,NA,NA,0.2,0.2,NA,NA,0.1,0,NA,NA,0,0,NA,NA,0.5,0.5,NA,NA,0.1,0.1,NA,NA,NA,29.25,NA,NA,NA,0.95,NA,NA,NA,51.92,NA,NA,NA,0.66,NA,NA
"Norway","NOR",5137232,5190239,5234519,5282223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,14.1,NA,NA,17.9,17.7,NA,NA,22.8,22.7,NA,NA,35.9,36.5,NA,NA,21.6,22.3,NA,NA,3.5,3.5,NA,NA,9.1,9,NA,NA,0,0.2,NA,NA,0,0,NA,NA,26.8,27.5,NA,NA,0.2,0.2,NA,NA,0.1,0.1,NA,NA,0,0,NA,NA,0.2,0.2,NA,NA,0.1,0.2,NA,NA,NA,40.57,NA,NA,NA,2.11,NA,NA,NA,70.92,NA,NA,NA,2.95,NA,NA
"Nepal","NPL",28323241,28656282,28982771,29304998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nauru","NRU",11853,12475,13049,13649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand","NZL",4509700,4595700,4693200,4793900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman","OMN",3960925,4199810,4424762,4636262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan","PAK",185546257,189380513,193203476,197015955,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,NA,NA,NA,15.6,NA,NA,NA,20.5,NA,NA,NA,42.8,NA,NA,NA,28.9,NA,NA,NA,3.9,NA,NA,NA,8.9,NA,NA,NA,4,NA,NA,NA,0.5,NA,NA,NA,33.5,NA,NA,NA,34.7,NA,NA,NA,7.6,NA,NA,NA,7.7,NA,NA,NA,75.4,NA,NA,NA,28.8,NA,NA,NA,2.6,NA,NA,NA,2.72,NA,NA,NA,4.94,NA,NA,NA,4.25,NA,NA
"Panama","PAN",3903986,3969249,4034119,4098587,NA,NA,25.6,23,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,8,8,NA,13,12.8,12.9,NA,20.6,20.5,21,NA,54.9,55.3,54.8,NA,38.6,39,37.9,NA,1,1.1,1.1,NA,3.3,3.4,3.3,NA,3.5,2,2.2,NA,1.1,0.5,0.5,NA,50.6,50.8,50.4,NA,8.4,6.7,7,NA,3.1,2.1,2.1,NA,0.1,0.1,0.1,NA,16.9,15.4,14.6,NA,7.1,5.9,5.8,NA,NA,NA,6.98,NA,NA,NA,4,NA,NA,NA,24.7,NA,NA,NA,3.89,NA
"Peru","PER",30973354,31376671,31773839,32165485,5.8,5.4,22.7,21.8,20.7,NA,13.7,NA,46,NA,3.3,NA,15.3,NA,9.7,9.8,9.7,NA,15,14.8,14.8,NA,22.2,21.8,22,NA,48.5,48.8,48.9,NA,32.3,32.8,32.7,NA,1.6,1.6,1.6,NA,4.7,4.7,4.6,NA,3.7,3.6,3.5,NA,1,1,0.9,NA,43.4,43.5,43.8,NA,10.7,10.4,10,NA,3.5,3.4,3.2,NA,1.2,1.1,1.1,NA,25.2,24.3,24.3,NA,9.5,9.2,9,NA,NA,NA,4.79,NA,NA,NA,3.08,NA,NA,NA,13.41,NA,NA,NA,2.18,NA
"Philippines","PHL",100102249,101716359,103320222,104918090,NA,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74,NA,NA,NA,2.43,NA,NA,NA,7.33,NA,NA,NA,1.38,NA,NA
"Palau","PLW",21094,21288,21503,21729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
